SA1_7DIG16,SA1_MAIN16,SA1_pop,SA1_irsdscore
1103924,10201103924,211,772
1103925,10201103925,445,1106
1103926,10201103926,633,1113
1103927,10201103927,471,1069
1103928,10201103928,430,1032
1103929,10201103929,402,1087
1103930,10201103930,165,1070
1103931,10201103931,310,1078
1104001,10201104001,346,965
1104002,10201104002,321,945
1104003,10201104003,279,1066
1104004,10201104004,452,1011
1104005,10201104005,310,1068
1104006,10201104006,488,1001
1104007,10201104007,337,966
1104009,10201104009,524,926
1104010,10201104010,336,883
1104011,10201104011,359,965
1104012,10201104012,326,1007
1104013,10201104013,576,996
1104014,10201104014,512,850
1104015,10201104015,194,978
1104016,10201104016,536,1049
1104017,10201104017,633,893
1104018,10201104018,452,928
1104019,10201104019,486,911
1104020,10201104020,464,892
1104021,10201104021,450,880
1104022,10201104022,234,849
1104023,10201104023,288,916
1104024,10201104024,510,966
1104025,10201104025,282,958
1104026,10201104026,620,939
1104027,10201104027,304,888
1104028,10201104028,384,1037
1104029,10201104029,430,925
1104030,10201104030,403,876
1104031,10201104031,343,888
1104032,10201104032,230,953
1104033,10201104033,398,945
1104034,10201104034,537,991
1104035,10201104035,336,979
1104036,10201104036,386,1010
1104037,10201104037,295,942
1104038,10201104038,345,935
1104039,10201104039,612,965
1104040,10201104040,380,975
1104041,10201104041,257,934
1104042,10201104042,405,884
1104043,10201104043,508,965
1104044,10201104044,302,972
1104045,10201104045,464,934
1104046,10201104046,461,945
1104047,10201104047,467,964
1104048,10201104048,493,961
1104049,10201104049,495,956
1104050,10201104050,342,949
1104051,10201104051,480,995
1104052,10201104052,396,1028
1104053,10201104053,522,945
1104054,10201104054,359,1069
1104055,10201104055,549,1038
1104056,10201104056,386,1073
1104057,10201104057,628,1080
1104058,10201104058,331,1030
1104101,10201104101,494,1078
1104102,10201104102,637,1082
1104103,10201104103,381,1068
1104104,10201104104,425,1046
1104105,10201104105,357,1108
1104106,10201104106,423,1101
1104107,10201104107,263,1096
1104109,10201104109,392,1069
1104110,10201104110,466,1103
1104111,10201104111,256,1073
1104112,10201104112,489,1084
1104113,10201104113,350,1112
1104114,10201104114,581,1082
1104115,10201104115,352,1109
1104116,10201104116,421,1095
1104117,10201104117,266,1118
1104119,10201104119,461,1065
1104120,10201104120,427,1073
1104121,10201104121,662,1026
1104122,10201104122,307,1087
1104123,10201104123,431,1063
1104124,10201104124,457,1067
1104125,10201104125,459,1101
1104201,10201104201,513,927
1104202,10201104202,541,955
1104203,10201104203,268,957
1104204,10201104204,406,767
1104205,10201104205,527,890
1104207,10201104207,544,1078
1104208,10201104208,529,923
1104209,10201104209,230,1013
1104210,10201104210,432,1076
1104211,10201104211,417,1085
1104213,10201104213,597,947
1104214,10201104214,578,1062
1104215,10201104215,363,907
1104216,10201104216,390,982
1104217,10201104217,480,879
1104218,10201104218,453,929
1104219,10201104219,380,934
1104220,10201104220,553,936
1104221,10201104221,512,915
1104222,10201104222,440,989
1104223,10201104223,339,782
1104224,10201104224,474,948
1104225,10201104225,519,954
1104226,10201104226,455,991
1104227,10201104227,367,902
1104228,10201104228,455,955
1104229,10201104229,320,901
1104230,10201104230,406,909
1104231,10201104231,566,895
1104232,10201104232,366,920
1104233,10201104233,499,971
1104301,10201104301,139,847
1104302,10201104302,358,953
1104303,10201104303,503,955
1104304,10201104304,377,1007
1104305,10201104305,370,996
1104307,10201104307,267,1039
1104308,10201104308,295,989
1104309,10201104309,366,1020
1104310,10201104310,201,1003
1104311,10201104311,427,1003
1104312,10201104312,868,805
1104313,10201104313,370,543
1104314,10201104314,202,762
1104315,10201104315,397,1034
1104316,10201104316,350,946
1104317,10201104317,425,917
1104318,10201104318,366,966
1104319,10201104319,413,995
1104320,10201104320,457,976
1104321,10201104321,358,1081
1104322,10201104322,345,1034
1104323,10201104323,461,1008
1104324,10201104324,527,1059
1104325,10201104325,440,1017
1104326,10201104326,572,1032
1104327,10201104327,387,1059
1104328,10201104328,264,1037
1104329,10201104329,302,1012
1104330,10201104330,618,1007
1104401,10202104401,323,1001
1104402,10202104402,365,1019
1104403,10202104403,245,934
1104404,10202104404,674,1006
1104405,10202104405,288,1061
1104406,10202104406,272,1024
1104407,10202104407,430,1008
1104408,10202104408,297,1015
1104409,10202104409,312,894
1104410,10202104410,238,878
1104411,10202104411,313,930
1104412,10202104412,650,1048
1104414,10202104414,490,1028
1104415,10202104415,396,990
1104416,10202104416,714,968
1104417,10202104417,532,949
1104419,10202104419,463,1036
1104420,10202104420,312,1005
1104421,10202104421,324,938
1104422,10202104422,456,1012
1104423,10202104423,523,1043
1104424,10202104424,286,915
1104425,10202104425,216,1055
1104426,10202104426,417,1019
1104427,10202104427,266,1008
1104428,10202104428,392,970
1104429,10202104429,529,980
1104430,10202104430,302,1011
1104431,10202104431,305,1015
1104432,10202104432,301,988
1104433,10202104433,350,978
1104434,10202104434,646,937
1104435,10202104435,311,1094
1104436,10202104436,466,955
1104437,10202104437,292,1013
1104438,10202104438,441,1093
1104439,10202104439,420,1046
1104441,10202104441,377,958
1104442,10202104442,392,967
1104443,10202104443,230,934
